Title,Description,Price,Condition,Ad Posted Date,Seller Name
"Monitor , CCTV,Phone PaBx System Sale 9841666479","we sales and support CCTV system and security Products sales within Nepal in best price contact no 9841666479 , Door lock Magnetic or key button system ,Remote Gate & swing system ,elista brand el-gtv 43 inch u iled ...led tv 43 inch 4k UHD -:wifi Router(AP) , computer work support and services support , Intercom Pabx system ,Networking , Room Ac , safty products ,electric products system,D digital Lead board, Fire system products ABC pouder ,fire ball ,video DOOR phone, Fiber network , UPVC","5,880",Brand New,5 months ago,Electronic & CCTV Sale
"INTEX 22"" MONITOR NORMAL",Panel Type: VA Panel Screen Resolution Type: 1080p FHD Response Time: 5 ms | Refresh Rate: 60 Hz HDMI Ports - 1 VUGA Ports - 1 Warranty - 1 Year,"5,900",Brand New,6 days ago,AAGYA TRADING
Hitech 22inch Led Monitor,Hi tech 22inch led monitor vga port and hdmi,"5,999",Brand New,2 years ago,Sagar Rijal
19 Inch Monitor,19 inch monitor best quality whatsapp 9851102809,"6,500",Brand New,3 years ago,Total It Center
HITECH 22'' Inch Monitor At Wholesale Price,"HiTech 22 inch FHD Monitor 6 Month Warranty Full HD Monitor Pannel Size: 22 inch 473.76×296.1mm (HxV) Viewing Angle H160/V140 Max Brightness: 350cd/m2 Max Contrast Ratio: 100000:1 (DCR) Port: VGA, HDMI, AC Response Time: 5s Colors: 16.7M (6-bit+Hi+FRC) Consumption: 12W Monitor Size: 55.88cm","6,599",Brand New,9 months ago,Electronics Wholesale Suppliers
20 Inch Flat Panel Monitor,"Resoulation: 1440*900 Display Color: 16.7M Gross Power: 20W Accessory: Power Cable, HDMI Cable, Pedestal","6,700",Brand New,3 years ago,JujuKart
"Intex LED Hdmi HD Monitor 22"" IT-2401","Intex LED Monitor 22 Inch IT-2401 1) HD Display 2) Realistic Color 3) High Brightness 4) Anti Glare Screen 5) 1x HDMI You can contact us on Whatsapp / viber or can make a direct call on 9841510220. Kante Technology Pvt. Ltd. Neche-Galli, Newroad, Kathmandu Telephone: 015908450","6,700",Brand New,5 months ago,Kante Techlonogy
NB North Bayou Dual Monitor Desk Mount Stand,"NB North Bayou Dual Monitor Desk Mount Stand Full Motion Swivel Computer Monitor Arm for Two Screens 17-27 Inch with 4.4~19.8lbs Load Capacity for Each Display F160 NB North Bayou monitor desk mount F160 is an ergonomics interactive display arm that allow you position your monitor wherever you need it so you can work in ergonomic comfort. It helps increase viewing comfort and reduce eye, back and neck strain. Height adjustable arm provide more work space, push away and free up table or desktop","6,800",Brand New,2 years ago,Gadget House Nepal
Hitech 22 Inch Monitor HDMI VGA Port,"Full HD Monitor Pannel Size: 22 inch 473.76×296.1mm (HxV) Viewing Angle H160/V140 Max Brightness: 350cd/m2 Max Contrast Ratio: 100000:1 (DCR) Port: VGA, HDMI, AC Response Time: 5s Resolution: 1920×1080 Colors: 16.7M (6-bit+Hi+FRC) Consumption: 12W Monitor Size: 55.88cm","8,499",Brand New,2 years ago,Mr.Deals
Zillion Digital Monitor,Zillion digital monitor 18.5 inch,"8,500",Brand New,2 years ago,Laptop And Accessories
"INTEX 22"" FRAMELESS MONITOR WITH SPEAKER","22"" FRAMELESS FHD MONITOR 100HZ REFRESH RATE","8,500",Brand New,6 days ago,AAGYA TRADING
NB F160 MONITOR RACK BLACK WITH USB,"color Black products status New private mold Yes brand name North Bayou place of origin Anhui, China screen size 17""-27"" Monitor Holder + 10""-17"" Laptop Support maximum tilt angle +85°/-30° material Aluminum alloy/Cold rolled sheet /ABS Packaging and delivery Selling Units: Single item Single package size: 42.5X19.7X18 cm Single gross weight: 6.750 kg","8,500",Brand New,7 months ago,Gaming House Nepal
"Huntkey 22"" Full HD Boarderless Monitor 1920x1080","- 21.5"" Screen Size - 1920x 1080p Full HD Resolution - Boarderless Design - 60Hz Frequency - 5Ms Response Time - VGA + HDMI Ports","10,500",Brand New,1 years ago,USoft Store
24 Inch LCD Monitor TV - Asus 24T1E,"The Asus 24T1E is an LCD TV/monitor hybrid that serves as both a computer display and a television. Screen Size: 23.6 inches Resolution: Full HD (1920 x 1080) Panel Type: LCD Aspect Ratio: Widescreen 16:9 Response Time: 5 ms Refresh Rate: Likely 60Hz, common for displays of its era. Connectivity: -HDMI -VGA -S-Video -Component video -Composite video Key Features: -Integrated TV tuner -Built-in speakers -Included remote control -On-screen display (OSD) controls Note: Remote is not available.","10,500",Used,2 months ago,MJNBZ
Hikvision 22 Inc FHD Borderless Monitor,Ultra-thin device body with ultra-thin border for 3 sides. 2 channels of 8 bit/10 bit LVDS HD (1920 × 1080) display. 178° ultra-wide view screen. 3D noise reduction. Low blue light design for eye care. Dual interface of HDMI and VGA. Support VESA wall mount.,"10,500",Brand New,9 months ago,Golden Vision Traders Pvt.Ltd
"Hitech Led Computer Monitor 22"" Hdmi / Vga Port","Product details of LED computer Monitor 22"" Inch Monitor Size : 22"" DCR : 13000000:1 Colors :16.7M Low Power Consumption Wide Screen : 16:9 Stand By 0.5 W Anti Glair Screen HDMI Port Viewing Angle :H160/V140 Max Contrast Ratio: 10000:1(DCR) Port: VGA,HDI,AC Response Time :5s Resolution: 1366 x768 Colors: 16.7m (6-bit+Hi+FRC) Consumption :12W","10,500",Brand New,4 years ago,Rhythm Kala Suppliers (WhatsApp 9851126504)
DAHUA Dhi Lm22 A201yf Monitor,"Display: 21.45"" IPS panel with LED backlight Resolution: 1920 × 1080 (Full HD) Refresh Rate: Up to 100Hz Response Time: 10ms (typical) Brightness: 250 cd/㎡ Contrast Ratio: 1000:1 Viewing Angles: 178° horizontal / 178° vertical Color Support: 16.7 million colors (8-bit) Inputs: 1 × HDMI, 1 × VGA Power Consumption: 22W (standard), ≤0.5W (standby) Design: Ultra-narrow bezels (3.3mm on top/sides, 15.2mm bottom), plastic housing VESA Mount: 75 × 75mm Dimensions: 492.7 × 284.0 × 41.2 mm","10,588",Brand New,7 months ago,BYTE TECH
"Mi Xiaomi A22I 21.4"" Fhd Monitor","Screen size -21.45"" Maximum resolution-1920 x 1080 HDMI maximum refresh rate -75Hz Brightness -250 nits (typ) Color depth -16.7 million Aspect ratio-16:9 Contrast ratio: 3000:1 (typ) Product model -A22FAB-RAGL Power input -12V⎓2.0A Rated power *24W Max. Dimensions -493 (L) x 165 (W) x 376 (H) mm Product net weight -2.2kg Operating temperature -0°C–40°C Operating humidity -20%–80%RH","12,000",Brand New,11 months ago,ITSupplies Pasal
Akg K92 Closed-Back Monitor Headphones,"Tech Specs: Open/Closed:Closed Fit Style: Circumaural (Around the Ear) Driver Size: 40mm Frequency Response: 16Hz-22kHz Impedance: 32 ohms Cable Type: Straight Cable Length: 9.8 ft. Plug Size: 1/8"", 1/4"" adapter Color: Matte Black Weight: 0.4 lbs. Manufacturer Part Number: 3169H00030","12,000",Brand New,2 years ago,Guitar Zone Gongabu
"Acer Monitor Led 20"" Brand New On Sale","ACER LED 20"" !!! CALL US FOR BEST PRICE Digital One Pvt ltd at New Road Sankata PHONE NO - 01-5331676, 01-5330587 MOB/ VIBER- 9841422141 Ntc; 9851137605 Ncell - 9705422141 Mail id - birendrashre@gmail.com","12,000",Brand New,6 years ago,Birendra Shrestha
"Uniarch 22"" LED FHD Monitor MW3222-L","22"" LED FHD Monitor 1 MW3222-L Display Type : LED Backlight | Max Resolution : 1920*1080 Aspect Ratio : 16:9 | Input : VGA*1 | HDMI*1 Accessories : Adapter | Pedestal | Quick Guide","12,000",Brand New,1 years ago,Rhythm Kala Suppliers (WhatsApp 9851126504)
Gaming Monitor,gaming monitor whatsapp 9851102809,"13,500",Brand New,6 months ago,Total It Center
Gaming Monitor 144hz And 100hz,gaming monitor whatsapp 9851102809,"13,500",Brand New,7 months ago,Total It Center
Xiaomi-Monitor-A22i,"Specifications Product model A22FAB-RAGL Power input 12V⎓2.0A Rated power* 24W Max. Screen size 21.45"" Brightness 250 nits (typ) Contrast ratio 3000:1 (typ) Color depth 16.7 million Aspect ratio 16:9 Maximum resolution 1920 x 1080 HDMI maximum refresh rate 75Hz Dimensions 493 (L) x 165 (W) x 376 (H) mm Product net weight 2.2kg Operating temperature 0°C–40°C Operating humidity 20%–80%RH * The power of the power adapter is not included. Package contents Monitor x1 Base x1 Bracket x1 User manual","14,999",Brand New,2 years ago,Technoholic Nepal
